"Number of students entered for an International Baccalaureate standard and higher level components by institution, subject and grade achieved",,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,No results
Wandsworth,130422,St Francis Xavier Sixth Form College,Further Education Sector Institution,IBO Higher level component,Untranslated Literature,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wandsworth,130422,St Francis Xavier Sixth Form College,Further Education Sector Institution,IBO Higher level component,Visual Arts,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Richmond upon Thames,130454,Richmond-upon-Thames College,Tertiary College,IBO Standard level component,Biology,16,0,0,2,3,6,3,2,0
Richmond upon Thames,130454,Richmond-upon-Thames College,Tertiary College,IBO Higher level component,Biology,22,0,0,3,5,6,8,0,0
Richmond upon Thames,130454,Richmond-upon-Thames College,Tertiary College,IBO Higher level component,Chemistry,23,0,1,2,8,6,6,0,0
Richmond upon Thames,130454,Richmond-upon-Thames College,Tertiary College,IBO Higher level component,Economics,18,0,0,0,4,7,5,2,0
Richmond upon Thames,130454,Richmond-upon-Thames College,Tertiary College,IBO Standard level component,History,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Richmond upon Thames,130454,Richmond-upon-Thames College,Tertiary College,IBO Higher level component,History,18,0,0,0,2,10,4,2,0
Richmond upon Thames,130454,Richmond-upon-Thames College,Tertiary College,IBO Standard level component,Mathematical Studies,35,0,0,4,3,11,11,6,0
Richmond upon Thames,130454,Richmond-upon-Thames College,Tertiary College,IBO Standard level component,Mathematics (Further),15,0,0,0,2,0,10,3,0
Richmond upon Thames,130454,Richmond-upon-Thames College,Tertiary College,IBO Higher level component,Mathematics (Further),2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Richmond upon Thames,130454,Richmond-upon-Thames College,Tertiary College,IBO Standard level component,Other Languages,34,0,1,0,5,13,10,5,0
Richmond upon Thames,130454,Richmond-upon-Thames College,Tertiary College,IBO Higher level component,Other Languages,21,0,0,0,0,4,6,11,0
Richmond upon Thames,130454,Richmond-upon-Thames College,Tertiary College,IBO Standard level component,Psychology,8,0,0,0,1,1,4,2,0
Richmond upon Thames,130454,Richmond-upon-Thames College,Tertiary College,IBO Higher level component,Psychology,20,0,0,0,3,12,4,1,0
Richmond upon Thames,130454,Richmond-upon-Thames College,Tertiary College,IBO Standard level component,Untranslated Literature,31,0,0,0,5,16,9,1,0
Richmond upon Thames,130454,Richmond-upon-Thames College,Tertiary College,IBO Higher level component,Untranslated Literature,21,0,0,0,4,10,6,1,0
Richmond upon Thames,130454,Richmond-upon-Thames College,Tertiary College,IBO Standard level component,Visual Arts,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Richmond upon Thames,130454,Richmond-upon-Thames College,Tertiary College,IBO Higher level component,Visual Arts,11,0,0,0,5,5,1,0,0
Liverpool,130487,The City of Liverpool College,General Further Education College,IBO Higher level component,Chemistry,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,130487,The City of Liverpool College,General Further Education College,IBO Higher level component,Geography,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,130487,The City of Liverpool College,General Further Education College,IBO Standard level component,History,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,130487,The City of Liverpool College,General Further Education College,IBO Higher level component,History,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,130487,The City of Liverpool College,General Further Education College,IBO Standard level component,Mathematical Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,130487,The City of Liverpool College,General Further Education College,IBO Standard level component,Mathematics (Further),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,130487,The City of Liverpool College,General Further Education College,IBO Standard level component,Other Languages,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,130487,The City of Liverpool College,General Further Education College,IBO Standard level component,Theatre Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,130487,The City of Liverpool College,General Further Education College,IBO Higher level component,Theatre Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,130487,The City of Liverpool College,General Further Education College,IBO Standard level component,Untranslated Literature,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,130487,The City of Liverpool College,General Further Education College,IBO Higher level component,Untranslated Literature,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,130487,The City of Liverpool College,General Further Education College,IBO Higher level component,Visual Arts,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Newcastle upon Tyne,130552,NCG,General Further Education College,IBO Standard level component,Biology,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Newcastle upon Tyne,130552,NCG,General Further Education College,IBO Higher level component,Biology,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Newcastle upon Tyne,130552,NCG,General Further Education College,IBO Higher level component,Chemistry,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Newcastle upon Tyne,130552,NCG,General Further Education College,IBO Higher level component,Geography,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Newcastle upon Tyne,130552,NCG,General Further Education College,IBO Standard level component,History,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Newcastle upon Tyne,130552,NCG,General Further Education College,IBO Standard level component,Mathematical Studies,6,0,0,1,1,1,1,2,0
Newcastle upon Tyne,130552,NCG,General Further Education College,IBO Higher level component,Mathematics (Further),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Newcastle upon Tyne,130552,NCG,General Further Education College,IBO Standard level component,Other Languages,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Newcastle upon Tyne,130552,NCG,General Further Education College,IBO Higher level component,Other Languages,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Newcastle upon Tyne,130552,NCG,General Further Education College,IBO Standard level component,Physics,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Newcastle upon Tyne,130552,NCG,General Further Education College,IBO Higher level component,Psychology,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Newcastle upon Tyne,130552,NCG,General Further Education College,IBO Standard level component,Untranslated Literature,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Newcastle upon Tyne,130552,NCG,General Further Education College,IBO Higher level component,Untranslated Literature,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Newcastle upon Tyne,130552,NCG,General Further Education College,IBO Higher level component,Visual Arts,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
"Bristol, City of",130563,St Brendan's Sixth Form College,Further Education Sector Institution,IBO Standard level component,Biology,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
"Bristol, City of",130563,St Brendan's Sixth Form College,Further Education Sector Institution,IBO Higher level component,Biology,10,0,0,2,3,3,2,0,0
"Bristol, City of",130563,St Brendan's Sixth Form College,Further Education Sector Institution,IBO Higher level component,Chemistry,8,0,1,1,4,2,0,0,0
"Bristol, City of",130563,St Brendan's Sixth Form College,Further Education Sector Institution,IBO Standard level component,Film Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
"Bristol, City of",130563,St Brendan's Sixth Form College,Further Education Sector Institution,IBO Higher level component,Film Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
"Bristol, City of",130563,St Brendan's Sixth Form College,Further Education Sector Institution,IBO Standard level component,Geography,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
"Bristol, City of",130563,St Brendan's Sixth Form College,Further Education Sector Institution,IBO Higher level component,Geography,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
"Bristol, City of",130563,St Brendan's Sixth Form College,Further Education Sector Institution,IBO Standard level component,History,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
"Bristol, City of",130563,St Brendan's Sixth Form College,Further Education Sector Institution,IBO Higher level component,History,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
"Bristol, City of",130563,St Brendan's Sixth Form College,Further Education Sector Institution,IBO Higher level component,Logic/ Philosophy,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
"Bristol, City of",130563,St Brendan's Sixth Form College,Further Education Sector Institution,IBO Standard level component,Mathematical Studies,13,0,0,2,6,3,2,0,0
"Bristol, City of",130563,St Brendan's Sixth Form College,Further Education Sector Institution,IBO Standard level component,Mathematics (Further),2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
"Bristol, City of",130563,St Brendan's Sixth Form College,Further Education Sector Institution,IBO Higher level component,Mathematics (Further),2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
"Bristol, City of",130563,St Brendan's Sixth Form College,Further Education Sector Institution,IBO Standard level component,Other Languages,16,0,0,0,2,10,2,2,0
"Bristol, City of",130563,St Brendan's Sixth Form College,Further Education Sector Institution,IBO Standard level component,Physics,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
"Bristol, City of",130563,St Brendan's Sixth Form College,Further Education Sector Institution,IBO Higher level component,Physics,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
"Bristol, City of",130563,St Brendan's Sixth Form College,Further Education Sector Institution,IBO Standard level component,Psychology,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
"Bristol, City of",130563,St Brendan's Sixth Form College,Further Education Sector Institution,IBO Higher level component,Psychology,8,0,0,0,1,6,1,0,0
"Bristol, City of",130563,St Brendan's Sixth Form College,Further Education Sector Institution,IBO Standard level component,Untranslated Literature,6,0,0,1,4,0,1,0,0
"Bristol, City of",130563,St Brendan's Sixth Form College,Further Education Sector Institution,IBO Higher level component,Untranslated Literature,11,0,0,0,3,4,4,0,0
"Bristol, City of",130563,St Brendan's Sixth Form College,Further Education Sector Institution,IBO Standard level component,Visual Arts,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
"Bristol, City of",130563,St Brendan's Sixth Form College,Further Education Sector Institution,IBO Higher level component,Visual Arts,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,130610,Cambridge Regional College,General Further Education College,IBO Standard level component,Mathematical Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,130610,Cambridge Regional College,General Further Education College,IBO Standard level component,Other Languages,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,130610,Cambridge Regional College,General Further Education College,IBO Higher level component,Psychology,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,130610,Cambridge Regional College,General Further Education College,IBO Higher level component,Untranslated Literature,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,130610,Cambridge Regional College,General Further Education College,IBO Higher level component,Visual Arts,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Warrington,130624,Priestley College,Sixth Form Centre / Consortia,IBO Standard level component,Other Languages,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Warrington,130624,Priestley College,Sixth Form Centre / Consortia,IBO Higher level component,Other Languages,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Warrington,130624,Priestley College,Sixth Form Centre / Consortia,IBO Higher level component,Psychology,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,130629,Truro and Penwith College,Tertiary College,IBO Standard level component,Biology,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,130629,Truro and Penwith College,Tertiary College,IBO Higher level component,Biology,15,0,0,0,2,6,4,3,0
Cornwall,130629,Truro and Penwith College,Tertiary College,IBO Higher level component,Chemistry,17,0,0,0,3,6,6,2,0
Cornwall,130629,Truro and Penwith College,Tertiary College,IBO Standard level component,History,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,130629,Truro and Penwith College,Tertiary College,IBO Higher level component,History,13,0,0,0,0,8,3,2,0
Cornwall,130629,Truro and Penwith College,Tertiary College,IBO Standard level component,Mathematical Studies,31,0,0,2,3,6,3,17,0
Cornwall,130629,Truro and Penwith College,Tertiary College,IBO Standard level component,Other Languages,19,0,0,0,1,9,7,2,0
Cornwall,130629,Truro and Penwith College,Tertiary College,IBO Higher level component,Other Languages,14,0,0,0,0,4,4,6,0
Cornwall,130629,Truro and Penwith College,Tertiary College,IBO Higher level component,Physics,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,130629,Truro and Penwith College,Tertiary College,IBO Standard level component,Psychology,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,130629,Truro and Penwith College,Tertiary College,IBO Higher level component,Psychology,8,0,0,1,0,2,4,1,0
Cornwall,130629,Truro and Penwith College,Tertiary College,IBO Standard level component,Sociology,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,130629,Truro and Penwith College,Tertiary College,IBO Higher level component,Sociology,11,0,0,1,0,6,4,0,0
Cornwall,130629,Truro and Penwith College,Tertiary College,IBO Standard level component,Untranslated Literature,22,0,0,0,1,11,10,0,0
Cornwall,130629,Truro and Penwith College,Tertiary College,IBO Higher level component,Untranslated Literature,10,0,0,0,0,5,5,0,0
Cornwall,130629,Truro and Penwith College,Tertiary College,IBO Standard level component,Visual Arts,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,130629,Truro and Penwith College,Tertiary College,IBO Higher level component,Visual Arts,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Devon,130645,Exeter College,Tertiary College,IBO Standard level component,Biology,10,0,0,1,2,1,5,1,0
Devon,130645,Exeter College,Tertiary College,IBO Higher level component,Biology,19,0,1,0,0,8,7,3,0
Devon,130645,Exeter College,Tertiary College,IBO Standard level component,Chemistry,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Devon,130645,Exeter College,Tertiary College,IBO Higher level component,Chemistry,14,0,1,1,5,5,2,0,0
Devon,130645,Exeter College,Tertiary College,IBO Standard level component,Film Studies,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Devon,130645,Exeter College,Tertiary College,IBO Higher level component,Geography,8,0,0,0,0,2,3,3,0
Devon,130645,Exeter College,Tertiary College,IBO Standard level component,History,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Devon,130645,Exeter College,Tertiary College,IBO Higher level component,History,10,0,0,0,0,7,3,0,0
Devon,130645,Exeter College,Tertiary College,IBO Standard level component,Logic/ Philosophy,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Devon,130645,Exeter College,Tertiary College,IBO Higher level component,Logic/ Philosophy,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Devon,130645,Exeter College,Tertiary College,IBO Standard level component,Mathematical Studies,24,0,0,0,4,3,6,11,0
Devon,130645,Exeter College,Tertiary College,IBO Standard level component,Mathematics (Further),12,1,1,2,0,4,1,3,0
Devon,130645,Exeter College,Tertiary College,IBO Standard level component,Other Languages,25,0,0,2,7,8,8,0,0
Devon,130645,Exeter College,Tertiary College,IBO Higher level component,Other Languages,13,0,0,1,1,3,4,4,0
Devon,130645,Exeter College,Tertiary College,IBO Standard level component,Physics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Devon,130645,Exeter College,Tertiary College,IBO Higher level component,Physics,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Devon,130645,Exeter College,Tertiary College,IBO Standard level component,Psychology,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Devon,130645,Exeter College,Tertiary College,IBO Higher level component,Psychology,12,0,1,0,0,4,6,1,0
Devon,130645,Exeter College,Tertiary College,IBO Standard level component,Untranslated Literature,16,0,0,1,1,7,7,0,0
Devon,130645,Exeter College,Tertiary College,IBO Higher level component,Untranslated Literature,20,0,0,0,1,8,11,0,0
Devon,130645,Exeter College,Tertiary College,IBO Standard level component,Visual Arts,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
