"Number of students entered for an International Baccalaureate standard and higher level components by institution, subject and grade achieved",,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,No results
Harrow,102257,North London Collegiate School,Independent School,IBO Standard level component,Economics,7,0,0,0,0,1,4,2,0
Harrow,102257,North London Collegiate School,Independent School,IBO Higher level component,Economics,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Harrow,102257,North London Collegiate School,Independent School,IBO Standard level component,Geography,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Harrow,102257,North London Collegiate School,Independent School,IBO Standard level component,History,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Harrow,102257,North London Collegiate School,Independent School,IBO Higher level component,History,6,0,0,0,0,0,2,4,0
Harrow,102257,North London Collegiate School,Independent School,IBO Standard level component,Logic/ Philosophy,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Harrow,102257,North London Collegiate School,Independent School,IBO Higher level component,Logic/ Philosophy,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Harrow,102257,North London Collegiate School,Independent School,IBO Standard level component,Mathematical Studies,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Harrow,102257,North London Collegiate School,Independent School,IBO Standard level component,Mathematics (Further),12,0,0,0,0,1,4,5,2
Harrow,102257,North London Collegiate School,Independent School,IBO Higher level component,Mathematics (Further),7,0,0,0,0,1,3,3,0
Harrow,102257,North London Collegiate School,Independent School,IBO Standard level component,Music,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Harrow,102257,North London Collegiate School,Independent School,IBO Standard level component,Other Classical Languages,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Harrow,102257,North London Collegiate School,Independent School,IBO Standard level component,Other Languages,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Harrow,102257,North London Collegiate School,Independent School,IBO Higher level component,Other Languages,10,0,0,0,0,0,4,6,0
Harrow,102257,North London Collegiate School,Independent School,IBO Standard level component,Physics,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Harrow,102257,North London Collegiate School,Independent School,IBO Higher level component,Physics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Harrow,102257,North London Collegiate School,Independent School,IBO Standard level component,Untranslated Literature,15,0,0,0,0,0,4,11,0
Harrow,102257,North London Collegiate School,Independent School,IBO Higher level component,Untranslated Literature,7,0,0,0,0,0,0,7,0
Harrow,102257,North London Collegiate School,Independent School,IBO Higher level component,Visual Arts,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hillingdon,102453,St Helen's School,Independent School,IBO Higher level component,Biology,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hillingdon,102453,St Helen's School,Independent School,IBO Higher level component,Chemistry,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hillingdon,102453,St Helen's School,Independent School,IBO Higher level component,Economics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hillingdon,102453,St Helen's School,Independent School,IBO Higher level component,History,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hillingdon,102453,St Helen's School,Independent School,IBO Higher level component,Logic/ Philosophy,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hillingdon,102453,St Helen's School,Independent School,IBO Standard level component,Mathematical Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hillingdon,102453,St Helen's School,Independent School,IBO Standard level component,Mathematics (Further),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hillingdon,102453,St Helen's School,Independent School,IBO Standard level component,Other Classical Languages,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hillingdon,102453,St Helen's School,Independent School,IBO Standard level component,Untranslated Literature,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Merton,102684,King's College School,Independent School,IBO Standard level component,Biology,38,0,0,0,0,4,19,15,0
Merton,102684,King's College School,Independent School,IBO Higher level component,Biology,33,0,0,0,0,3,11,19,0
Merton,102684,King's College School,Independent School,IBO Standard level component,Chemistry,11,0,0,0,0,2,2,7,0
Merton,102684,King's College School,Independent School,IBO Higher level component,Chemistry,56,0,0,0,0,8,16,32,0
