"Number of students entered for vocationally related qualifications (VRQ) by institution, subject and grade achieved",,,,,,,,,,,
,,,,,,,Grade achieved,,,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number entered ,Distinction *,Distinction,Merit,Pass,No results
Wigan,106534,The Deanery Church of England High School and Sixth Form College,Voluntary Aided School,OCR Level 3 Diploma in ICT Systems and Principles for Professionals (PROCOM) (QCF),Systems / Network Management,6,0,0,0,6,0
Wigan,106534,The Deanery Church of England High School and Sixth Form College,Voluntary Aided School,OCR Level 3 Extended Diploma in ICT Systems and Principles for Professionals (PROCOM) (QCF),Systems / Network Management,6,0,0,0,6,0
Wigan,106538,St Mary's Catholic High School,Voluntary Aided School,NOCN Level 3 Award in General Religious Education (QCF),Religious Education,109,0,0,0,109,0
Doncaster,106802,Balby Carr Community Sports and Science College,Foundation School,City & Guilds Level 3 NVQ Diploma in Hairdressing (QCF),Hairdressing Services,1,Supp,Supp,Supp,Supp,Supp
Doncaster,106802,Balby Carr Community Sports and Science College,Foundation School,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,3,Supp,Supp,Supp,Supp,Supp
Doncaster,106802,Balby Carr Community Sports and Science College,Foundation School,VTCT Level 3 Diploma in the Prevention and Management of Sports Injuries (QCF),Sports Physiotherapy,1,Supp,Supp,Supp,Supp,Supp
Doncaster,106810,The McAuley Catholic High School,Voluntary Aided School,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,10,0,0,4,6,0
Rotherham,106955,Wickersley School and Sports College,Community School,CACHE Level 3 Diploma for The Children and Young People's Workforce (QCF),Childcare Skills,3,Supp,Supp,Supp,Supp,Supp
Rotherham,106955,Wickersley School and Sports College,Community School,HABC  Level 3 Award In First Aid at Work (QCF),First Aid,1,Supp,Supp,Supp,Supp,Supp
Rotherham,106955,Wickersley School and Sports College,Community School,"VTCT Level 3 Diploma in Theatrical, Special Effects and Hair and Media Make-Up (QCF)",Theatrical Makeup,1,Supp,Supp,Supp,Supp,Supp
Rotherham,106958,Dinnington Comprehensive Specialising in Science and Engineering,Community School,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,1,Supp,Supp,Supp,Supp,Supp
Sheffield,107140,King Edward VII School,Community School,VTCT Level 3 Diploma in Massage (QCF),Massage Techniques (Personal Health),1,Supp,Supp,Supp,Supp,Supp
Sheffield,107163,Birkdale School,Independent School,1st4sport Level 3 Certificate in Achieving Excellence in Sports Performance (QCF),Sports Studies,1,Supp,Supp,Supp,Supp,Supp
Sheffield,107163,Birkdale School,Independent School,1st4sport Level 3 Certificate in Understanding Sports Performance (QCF),Sports Studies,1,Supp,Supp,Supp,Supp,Supp
Calderdale,107562,"Calder High School, A Specialist Technology College",Foundation School,City & Guilds Level 3 Award in Bridal Hair Styling (QCF),Hairdressing Services,1,Supp,Supp,Supp,Supp,Supp
Calderdale,107563,Sowerby Bridge High School,Community School,City & Guilds Level 3 Award in Bridal Hair Styling (QCF),Hairdressing Services,1,Supp,Supp,Supp,Supp,Supp
Calderdale,107563,Sowerby Bridge High School,Community School,Sports Leaders UK Level 3 Certificate in Higher Sports Leadership (QCF),Sports Leadership,3,Supp,Supp,Supp,Supp,Supp
Kirklees,107783,St John Fisher Catholic High School,Voluntary Aided School,NOCN Level 3 Award in General Religious Education (QCF),Religious Education,69,0,0,0,69,0
Leeds,108055,Lawnswood School,Community School,Sports Leaders UK Level 3 Certificate in Higher Sports Leadership (QCF),Sports Leadership,2,Supp,Supp,Supp,Supp,Supp
Leeds,108064,Temple Moor High School Science College,Foundation School,ILM Level 3 Award in Leadership and Management (QCF),Leadership,1,Supp,Supp,Supp,Supp,Supp
Leeds,108064,Temple Moor High School Science College,Foundation School,Sports Leaders UK Level 3 Certificate in Higher Sports Leadership (QCF),Sports Leadership,6,0,0,0,6,0
Leeds,108083,Benton Park School,Community School,Sports Leaders UK Level 3 Certificate in Higher Sports Leadership (QCF),Sports Leadership,17,0,0,0,17,0
Leeds,108087,Priesthorpe School,Foundation School,Sports Leaders UK Level 3 Certificate in Higher Sports Leadership (QCF),Sports Leadership,1,Supp,Supp,Supp,Supp,Supp
Leeds,108090,Brigshaw High School and Language College,Foundation School,Sports Leaders UK Level 3 Certificate in Higher Sports Leadership (QCF),Sports Leadership,5,Supp,Supp,Supp,Supp,Supp
Leeds,108114,Woodhouse Grove School,Independent School,ASDAN Level 3 Certificate in Community Volunteering (QCF),Community Work,3,Supp,Supp,Supp,Supp,Supp
Leeds,108120,St John's Catholic School for the Deaf (Boston Spa),Non-Maintained Special School,City & Guilds  Level 3 Extended Diploma in Horse Management (QCF),Horses / Ponies Keeping,1,Supp,Supp,Supp,Supp,Supp
Leeds,108120,St John's Catholic School for the Deaf (Boston Spa),Non-Maintained Special School,City & Guilds Level 3 90-Credit Diploma in Horse Management (QCF),Horses / Ponies Keeping,1,Supp,Supp,Supp,Supp,Supp
Leeds,108120,St John's Catholic School for the Deaf (Boston Spa),Non-Maintained Special School,VTCT Level 3 Award in Taping and Strapping for Sport and Active Leisure (QCF),Sports Physiotherapy,2,Supp,Supp,Supp,Supp,Supp
Wakefield,108305,Wakefield Girls' High School,Independent School,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,1,Supp,Supp,Supp,Supp,Supp
Newcastle upon Tyne,108525,Walker Technology College,Community School,ABC Level 3 Certificate in General Patisserie and Confectionery (QCF),Baking / Confectionery,1,Supp,Supp,Supp,Supp,Supp
Newcastle upon Tyne,108526,Benfield School,Community School,OCR Level 3 Award for Creative iMedia (QCF),Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp,Supp
Newcastle upon Tyne,108526,Benfield School,Community School,Sports Leaders UK Level 3 Certificate in Higher Sports Leadership (QCF),Sports Leadership,5,Supp,Supp,Supp,Supp,Supp
Newcastle upon Tyne,108547,Dame Allan's Senior School,Independent School,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,11,0,1,7,3,0
North Tyneside,108639,George Stephenson High School,Foundation School,ASDAN Level 3 Award of Personal Effectiveness (QCF),Self Development,5,Supp,Supp,Supp,Supp,Supp
North Tyneside,108640,Burnside Business and Enterprise College,Community School,City & Guilds Level 3 Diploma In Youth Work Practice (QCF),Youth Work,1,Supp,Supp,Supp,Supp,Supp
South Tyneside,108726,Harton Technology College,Community School,TCL Level 3 Certificate in the Arts (QCF),Speech & Drama,1,Supp,Supp,Supp,Supp,Supp
Sunderland,108870,St Robert of Newminster Roman Catholic School,Voluntary Aided School,NOCN Level 3 Award in General Religious Education (QCF),Religious Education,52,0,0,0,52,0
South Gloucestershire,109296,Patchway Community College,Community School,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,7,0,0,0,7,0
Bath and North East Somerset,109306,Chew Valley School,Foundation School,Sports Leaders UK Level 3 Certificate in Basic Expedition Leadership (QCF),Sports Leadership,3,Supp,Supp,Supp,Supp,Supp
South Gloucestershire,109318,Hanham High School,Community School,Sports Leaders UK Level 3 Certificate in Higher Sports Leadership (QCF),Sports Leadership,3,Supp,Supp,Supp,Supp,Supp
South Gloucestershire,109322,The Grange School and Sports College,Community School,Sports Leaders UK Level 3 Certificate in Higher Sports Leadership (QCF),Sports Leadership,1,Supp,Supp,Supp,Supp,Supp
South Gloucestershire,109325,Marlwood School,Voluntary Controlled School,RSL Level 3 Extended Certificate For Music Practitioners (QCF),Music performance: Group,1,Supp,Supp,Supp,Supp,Supp
"Bristol, City of",109334,Clifton College,Independent School,LAMDA Level 3 Certificate in Speech and Drama: Performance Studies (QCF),Speech & Drama,5,Supp,Supp,Supp,Supp,Supp
"Bristol, City of",109334,Clifton College,Independent School,TCL Level 3 Certificate in the Arts (QCF),Speech & Drama,1,Supp,Supp,Supp,Supp,Supp
"Bristol, City of",109334,Clifton College,Independent School,Active IQ Level 3 Certificate in Personal Training (QCF),Sports Fitness / Body Training,1,Supp,Supp,Supp,Supp,Supp
Bedford,109690,Biddenham Upper School and Sports College,Foundation School,1st4sport Level 3 Certificate in Achieving Excellence in Sports Performance (QCF),Sports Studies,3,Supp,Supp,Supp,Supp,Supp
Bedford,109690,Biddenham Upper School and Sports College,Foundation School,1st4sport Level 3 Certificate in Understanding Sports Performance (QCF),Sports Studies,3,Supp,Supp,Supp,Supp,Supp
Bedford,109690,Biddenham Upper School and Sports College,Foundation School,1st4sport Level 3 NVQ Diploma in Achieving Excellence in Sports Performance (QCF),Sports Studies,1,Supp,Supp,Supp,Supp,Supp
West Berkshire,110050,John O'Gaunt School,Community School,City & Guilds Level 3 Diploma in Sport (QCF),Sports Studies,1,Supp,Supp,Supp,Supp,Supp
Windsor and Maidenhead,110051,Newlands Girls' School,Community School,ASDAN Level 3 Award in Community Volunteering (QCF),Community Work,3,Supp,Supp,Supp,Supp,Supp
Windsor and Maidenhead,110051,Newlands Girls' School,Community School,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,4,Supp,Supp,Supp,Supp,Supp
Windsor and Maidenhead,110056,The Windsor Boys' School,Community School,Active IQ Level 3 Diploma In Fitness Instructing and Personal Training  (QCF),Fitness Trainer Training,1,Supp,Supp,Supp,Supp,Supp
Windsor and Maidenhead,110056,The Windsor Boys' School,Community School,Active IQ Level 3 Certificate in Personal Training (QCF),Sports Fitness / Body Training,1,Supp,Supp,Supp,Supp,Supp
Windsor and Maidenhead,110057,Windsor Girls' School,Community School,ASDAN Level 3 Award in Community Volunteering (QCF),Community Work,2,Supp,Supp,Supp,Supp,Supp
Wokingham,110060,The Emmbrook School,Community School,OCR Level 3 Award in ICT Systems and Principles for Professionals (PROCOM) (QCF),Systems / Network Management,2,Supp,Supp,Supp,Supp,Supp
Wokingham,110060,The Emmbrook School,Community School,OCR Level 3 Certificate In ICT Systems and Principles for Professionals (PROCOM)  (QCF),Systems / Network Management,2,Supp,Supp,Supp,Supp,Supp
Wokingham,110062,The Bulmershe School,Community School,CYQ Level 3 Award in Employment Awareness in Active Leisure and Learning (QCF),Leisure Studies,2,Supp,Supp,Supp,Supp,Supp
Bracknell Forest,110068,Sandhurst School,Community School,CYQ Level 3 Award in Employment Awareness in Active Leisure and Learning (QCF),Leisure Studies,1,Supp,Supp,Supp,Supp,Supp
Bracknell Forest,110068,Sandhurst School,Community School,Pearson EDI Level 3 Certificate in ICT Systems and Principles (QCF),Systems / Network Management,1,Supp,Supp,Supp,Supp,Supp
Bracknell Forest,110068,Sandhurst School,Community School,Pearson EDI Level 3 Diploma in ICT Professional Competence (PROCOM) (QCF),Systems / Network Management,1,Supp,Supp,Supp,Supp,Supp
Bracknell Forest,110071,Easthampstead Park Community School,Community School,City & Guilds Level 3 Diploma in Sport (QCF),Sports Studies,1,Supp,Supp,Supp,Supp,Supp
Slough,110078,Wexham School,Community School,ASDAN Level 3 Award in Community Volunteering (QCF),Community Work,3,Supp,Supp,Supp,Supp,Supp
Reading,110109,Queen Anne's School,Independent School,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,18,0,0,4,14,0
Reading,110109,Queen Anne's School,Independent School,1st4sport Level 3 Certificate in Achieving Excellence in Sports Performance (QCF),Sports Studies,1,Supp,Supp,Supp,Supp,Supp
Reading,110109,Queen Anne's School,Independent School,1st4sport Level 3 Certificate in Understanding Sports Performance (QCF),Sports Studies,1,Supp,Supp,Supp,Supp,Supp
Reading,110111,St Joseph's College,Independent School,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,1,Supp,Supp,Supp,Supp,Supp
West Berkshire,110123,Downe House,Independent School,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,1,Supp,Supp,Supp,Supp,Supp
Bracknell Forest,110125,Wellington College,Independent School,Active IQ Level 3 Diploma In Fitness Instructing and Personal Training  (QCF),Fitness Trainer Training,2,Supp,Supp,Supp,Supp,Supp
Bracknell Forest,110125,Wellington College,Independent School,Active IQ Level 3 Certificate in Personal Training (QCF),Sports Fitness / Body Training,2,Supp,Supp,Supp,Supp,Supp
Wokingham,110137,Bearwood College,Independent School,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,2,Supp,Supp,Supp,Supp,Supp
Windsor and Maidenhead,110147,Brigidine School Windsor,Independent School,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,7,0,0,2,5,0
Windsor and Maidenhead,110152,Marist Senior School,Independent School,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,15,0,2,5,8,0
Windsor and Maidenhead,110153,Claires Court Schools,Independent School,Sports Leaders UK Level 3 Certificate in Higher Sports Leadership (QCF),Sports Leadership,10,0,0,0,10,0
Buckinghamshire,110488,The Grange School,Foundation School,City & Guilds Level 3 Diploma In Electrical Installations (Buildings and Structures) (QCF),Electrical installation (Buildings / Construction),1,Supp,Supp,Supp,Supp,Supp
Buckinghamshire,110488,The Grange School,Foundation School,1st4sport Level 3 Award in the Principles of Coaching Sport (QCF),Sports Coaching,9,0,0,0,9,0
Buckinghamshire,110497,The Mandeville School,Community School,1st4sport Level 3 Award in the Principles of Coaching Sport (QCF),Sports Coaching,4,Supp,Supp,Supp,Supp,Supp
Buckinghamshire,110508,The Wye Valley School,Community School,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,4,Supp,Supp,Supp,Supp,Supp
Buckinghamshire,110516,St Michael's Catholic School,Voluntary Aided School,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,19,0,0,0,19,0
Buckinghamshire,110528,Beaconsfield High School,Foundation School,Sports Leaders UK Level 3 Certificate in Higher Sports Leadership (QCF),Sports Leadership,7,0,0,0,7,0
Buckinghamshire,110548,Stowe School,Independent School,TCL Level 3 Certificate in the Arts (QCF),Speech & Drama,1,Supp,Supp,Supp,Supp,Supp
Peterborough,110882,Ken Stimpson Community School,Community School,RSL Level 3 Subsidiary Diploma For Music Practitioners (QCF),Music performance: Group,1,Supp,Supp,Supp,Supp,Supp
Peterborough,110882,Ken Stimpson Community School,Community School,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,2,Supp,Supp,Supp,Supp,Supp
Peterborough,110899,Jack Hunt School,Foundation School,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,1,Supp,Supp,Supp,Supp,Supp
Peterborough,110907,St John Fisher Catholic High School,Voluntary Aided School,VTCT Level 3 Certificate in Swedish Massage (QCF),Massage Techniques (Personal Health),1,Supp,Supp,Supp,Supp,Supp
Peterborough,110907,St John Fisher Catholic High School,Voluntary Aided School,NOCN Level 3 Award in General Religious Education (QCF),Religious Education,15,0,0,0,15,0
Peterborough,110910,The Peterborough School,Independent School,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,8,0,2,1,5,0
Cambridgeshire,110926,Wisbech Grammar School,Independent School,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,1,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,110935,Cambridge Arts and Sciences Sixth Form and Tutorial College,Independent School,NULL,Speech & Drama,12,0,3,7,2,0
Cheshire West and Chester,111422,Upton-by-Chester High School,Foundation School,ILM Level 3 Award in Leadership and Management (QCF),Leadership,1,Supp,Supp,Supp,Supp,Supp
Warrington,111430,Culcheth High School,Community School,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,4,Supp,Supp,Supp,Supp,Supp
Cheshire East,111436,Poynton High School,Community School,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,1,Supp,Supp,Supp,Supp,Supp
Cheshire East,111443,Wilmslow High School,Community School,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,1,Supp,Supp,Supp,Supp,Supp
Warrington,111447,Bridgewater High School,Community School,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,6,0,0,3,3,0
Cheshire East,111473,The King's School In Macclesfield,Independent School,1st4sport Level 3 Certificate in Achieving Excellence in Sports Performance (QCF),Sports Studies,1,Supp,Supp,Supp,Supp,Supp
Cheshire East,111473,The King's School In Macclesfield,Independent School,1st4sport Level 3 Certificate in Understanding Sports Performance (QCF),Sports Studies,1,Supp,Supp,Supp,Supp,Supp
Cheshire East,111478,Alderley Edge School for Girls,Independent School,LAMDA Level 3 Certificate in Speech and Drama: Performance Studies (QCF),Speech & Drama,1,Supp,Supp,Supp,Supp,Supp
