"Number of students entering a BTEC award by institution, subject and grade achieved",,,,,,,,
,,,,,,,Grade achieved,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Pass,No results
Bournemouth,139037,Oak Academy,Converter Academy,BTEC Award Level 3,Preparation for Work,1,Supp,Supp
Warrington,139072,University Academy Warrington,Sponsored Academy,BTEC Award Level 3,Childcare Skills,3,Supp,Supp
Essex,139153,Hedingham School and Sixth Form,Converter Academy,BTEC Award Level 3,Fashion / Textiles Design,1,Supp,Supp
Essex,139153,Hedingham School and Sixth Form,Converter Academy,BTEC Award Level 3,Interactive Video,1,Supp,Supp
Essex,139153,Hedingham School and Sixth Form,Converter Academy,BTEC Award Level 3,Management Studies / Science,1,Supp,Supp
Essex,139153,Hedingham School and Sixth Form,Converter Academy,BTEC Award Level 3,Retailing,1,Supp,Supp
South Gloucestershire,139238,South Gloucestershire and Stroud College,General Further Education College,BTEC Award Level 3,Fine Art,1,Supp,Supp
South Gloucestershire,139238,South Gloucestershire and Stroud College,General Further Education College,BTEC Award Level 3,Preparation for Work,26,26,0
Birmingham,139738,The Baverstock Academy,Converter Academy,BTEC Award Level 3,Preparation for Work,2,Supp,Supp
Bradford,139982,Grange Technology College,Converter Academy,BTEC Award Level 3,Childcare Skills,4,Supp,Supp
