"Number of students entered for an advanced extension award by institution, subject and grade achieved",,,,,,,,,,,
,,,,,,,Grade achieved,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Distinction,Merit,Pass,Unclassified,No results
Surrey,130828,Godalming College,Sixth Form Centre / Consortia,Advanced Extension Award,Mathematics,5,Supp,Supp,Supp,Supp,Supp
Surrey,130830,Esher College,Sixth Form Centre / Consortia,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Surrey,130831,Woking College,Sixth Form Centre / Consortia,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Warwickshire,130837,Stratford-upon-Avon College,General Further Education College,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
West Sussex,130843,Chichester College,General Further Education College,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
West Sussex,130847,The College of Richard Collyer In Horsham,Further Education Sector Institution,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Middlesbrough,130908,Macmillan Academy,Sponsored Academy,Advanced Extension Award,Mathematics,3,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,131074,Bellerbys College Cambridge,Independent School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Wolverhampton,131547,The King's Church of England School,Voluntary Aided School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Lancashire,132834,Ormskirk School,Voluntary Controlled School,Advanced Extension Award,Mathematics,3,Supp,Supp,Supp,Supp,Supp
Redbridge,133405,Oaks Park High School,Community School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
East Sussex,133435,Sussex Downs College,General Further Education College,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Croydon,133528,Cambridge Tutors College,Independent School,Advanced Extension Award,Mathematics,7,1,1,0,5,0
Hackney,133608,The Brooke House Sixth Form College,Sixth Form Centre / Consortia,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Brent,133724,JFS,Voluntary Aided School,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Hackney,134693,Mossbourne Community Academy,Sponsored Academy,Advanced Extension Award,Mathematics,5,Supp,Supp,Supp,Supp,Supp
Hillingdon,134797,Stockley Academy,Sponsored Academy,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Barnet,134798,London Academy,Sponsored Academy,Advanced Extension Award,Mathematics,5,Supp,Supp,Supp,Supp,Supp
Greenwich,134827,Bellerbys College London,Independent School,Advanced Extension Award,Mathematics,9,0,1,0,7,1
Derby,135120,Landau Forte College,Sponsored Academy,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Kensington and Chelsea,135531,Chelsea Academy,Sponsored Academy,Advanced Extension Award,Mathematics,3,Supp,Supp,Supp,Supp,Supp
Slough,135631,The Langley Academy,Sponsored Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Rochdale,135659,Rochdale Sixth Form College,Sixth Form Centre / Consortia,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,136083,Abbey College Cambridge,Independent School,Advanced Extension Award,Mathematics,17,2,8,0,4,3
Staffordshire,141491,Landau Forte Sixth Form College,Academy 16-19 Sponsor Led,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Redbridge,136267,Chadwell Heath Academy,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Southend-on-Sea,136272,Westcliff High School for Boys Academy,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Hertfordshire,136276,Watford Grammar School for Boys,Converter Academy,Advanced Extension Award,Mathematics,3,Supp,Supp,Supp,Supp,Supp
Somerset,136294,Huish Episcopi Academy,Converter Academy,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Southwark,136298,The Charter School,Converter Academy,Advanced Extension Award,Mathematics,4,Supp,Supp,Supp,Supp,Supp
Gloucestershire,136306,Sir Thomas Rich's School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Barnet,136308,Ashmole Academy,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Bexley,136334,Beths Grammar School,Converter Academy,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Gloucestershire,136353,Pate's Grammar School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Bromley,136355,Darrick Wood School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Poole,136368,Parkstone Grammar School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
